date,stock_id,Country,IPOYear,MarketCap,Subsector,stock_name
2019-01-10,A,United States,1999,21610000000,Biotechnology:LaboratoryAnalyticalInstruments,"Agilent Technologies, Inc."
2019-01-10,AA,n/a,2016,5270000000,Aluminum,Alcoa Corporation
2019-01-10,AABA,United States,0,36780000000,EDPServices,Altaba Inc.
2019-01-10,AAC,United States,2014,55360000,MedicalSpecialities,"AAC Holdings, Inc."
2019-01-10,AAL,United States,0,14930000000,AirFreight/DeliveryServices,"American Airlines Group, Inc."
2019-01-10,AAMC,United States,0,47490000,RealEstate,Altisource Asset Management Corp
2019-01-10,AAME,United States,0,53530000,LifeInsurance,Atlantic American Corporation
2019-01-10,AAN,United States,0,3300000000,DiversifiedCommercialServices,"Aaron's,  Inc."
2019-01-10,AAOI,United States,2013,316980000,Semiconductors,"Applied Optoelectronics, Inc."
2019-01-10,AAON,United States,0,1890000000,IndustrialMachinery/Components,"AAON, Inc."
2019-01-10,AAP,United States,0,11660000000,OtherSpecialtyStores,Advance Auto Parts Inc
2019-01-10,AAPL,United States,1980,715370000000,ComputerManufacturing,Apple Inc.
2019-01-10,AAT,United States,2011,1940000000,RealEstateInvestmentTrusts,"American Assets Trust, Inc."
2019-01-10,AAU,Canada,2015,81500000,PreciousMetals,"Almaden Minerals, Ltd."
2019-01-10,AAWW,United States,0,1120000000,TransportationServices,Atlas Air Worldwide Holdings
2019-01-10,AAXJ,United States,0,4240000000,,iShares MSCI All Country Asia ex Japan Index Fund
2019-01-10,AAXN,United States,0,2910000000,OrdnanceAndAccessories,"Axon Enterprise, Inc."
2019-01-10,AB,United States,0,2710000000,InvestmentManagers,AllianceBernstein Holding L.P.
2019-01-10,ABAC,China,0,9320000,Farming/Seeds/Milling,"Renmin Tianli Group, Inc."
2019-01-10,ABB,Switzerland,0,41570000000,ElectricalProducts,ABB Ltd
2019-01-10,ABBV,United States,2012,136570000000,MajorPharmaceuticals,AbbVie Inc.
2019-01-10,ABC,United States,0,16010000000,OtherPharmaceuticals,AmerisourceBergen Corporation (Holding Co)
2019-01-10,ABCB,United States,1994,1630000000,MajorBanks,Ameris Bancorp
2019-01-10,ABDC,United States,0,93740000,n/a,Alcentra Capital Corp.
2019-01-10,ABEO,United States,0,350470000,MajorPharmaceuticals,Abeona Therapeutics Inc.
2019-01-10,ABEOW,United States,0,0,MajorPharmaceuticals,Abeona Therapeutics Inc.
2019-01-10,ABEV,n/a,2013,68070000000,Beverages(Production/Distribution),Ambev S.A.
2019-01-10,ABG,United States,2002,1370000000,AutomotiveAftermarket,Asbury Automotive Group Inc
2019-01-10,ABIL,Israel,2014,7220000,TelecommunicationsEquipment,Ability Inc.
2019-01-10,ABIO,United States,0,5150000,Biotechnology:InVitro&InVivoDiagnosticSubstances,"ARCA biopharma, Inc."
2019-01-10,ABM,United States,0,2310000000,DiversifiedCommercialServices,ABM Industries Incorporated
2019-01-10,ABMD,United States,0,14340000000,Medical/DentalInstruments,"ABIOMED, Inc."
2019-01-10,ABR,United States,2004,952100000,RealEstateInvestmentTrusts,Arbor Realty Trust
2019-01-10,ABR^A,United States,0,0,n/a,Arbor Realty Trust
2019-01-10,ABR^B,United States,0,0,n/a,Arbor Realty Trust
2019-01-10,ABR^C,United States,0,0,n/a,Arbor Realty Trust
2019-01-10,ABT,United States,0,119960000000,MajorPharmaceuticals,Abbott Laboratories
2019-01-10,ABTX,United States,2015,778790000,MajorBanks,"Allegiance Bancshares, Inc."
2019-01-10,ABUS,Canada,0,224680000,MajorPharmaceuticals,Arbutus Biopharma Corporation
2019-01-10,AC,United States,2015,864360000,InvestmentBankers/Brokers/Service,"Associated Capital Group, Inc."
2019-01-10,ACA,n/a,2018,1470000000,IndustrialMachinery/Components,"Arcosa, Inc."
2019-01-10,ACAD,United States,1985,2320000000,MajorPharmaceuticals,ACADIA Pharmaceuticals Inc.
2019-01-10,ACB,n/a,0,5020000000,SpecialtyChemicals,Aurora Cannabis Inc.
2019-01-10,ACBI,United States,0,469680000,MajorBanks,"Atlantic Capital Bancshares, Inc."
2019-01-10,ACC,United States,2004,5780000000,RealEstateInvestmentTrusts,American Campus Communities Inc
2019-01-10,ACCO,United States,0,811640000,Publishing,Acco Brands Corporation
2019-01-10,ACER,United States,0,236250000,MajorPharmaceuticals,Acer Therapeutics Inc.
2019-01-10,ACET,United States,0,37230000,OtherPharmaceuticals,Aceto Corporation
2019-01-10,ACGL,Bermuda,0,10700000000,Property-CasualtyInsurers,Arch Capital Group Ltd.
2019-01-10,ACGLO,Bermuda,0,0,Property-CasualtyInsurers,Arch Capital Group Ltd.
2019-01-10,ACGLP,Bermuda,0,0,Property-CasualtyInsurers,Arch Capital Group Ltd.
2019-01-10,ACH,China,2001,5060000000,Aluminum,Aluminum Corporation of China Limited
2019-01-10,ACHC,United States,0,2380000000,MedicalSpecialities,"Acadia Healthcare Company, Inc."
2019-01-10,ACHN,United States,2006,278620000,MajorPharmaceuticals,"Achillion Pharmaceuticals, Inc."
2019-01-10,ACHV,United States,0,8940000,Biotechnology:InVitro&InVivoDiagnosticSubstances,"Achieve Life Sciences, Inc. "
2019-01-10,ACIA,United States,2016,1680000000,Semiconductors,"Acacia Communications, Inc."
2019-01-10,ACIU,Switzerland,2016,721450000,MajorPharmaceuticals,AC Immune SA
2019-01-10,ACIW,United States,0,3180000000,ComputerSoftware:PrepackagedSoftware,"ACI Worldwide, Inc."
2019-01-10,ACLS,United States,2000,576290000,IndustrialMachinery/Components,"Axcelis Technologies, Inc."
2019-01-10,ACM,United States,2007,4470000000,Military/Government/Technical,AECOM
2019-01-10,ACMR,United States,2017,171720000,IndustrialMachinery/Components,"ACM Research, Inc."
2019-01-10,ACN,Ireland,2001,96690000000,BusinessServices,Accenture plc
2019-01-10,ACNB,United States,0,271690000,MajorBanks,ACNB Corporation
2019-01-10,ACOR,United States,2006,769490000,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),"Acorda Therapeutics, Inc."
2019-01-10,ACP,United States,2011,143550000,n/a,Aberdeen Income Credit Strategies Fund
2019-01-10,ACRE,United States,2012,400630000,RealEstateInvestmentTrusts,Ares Commercial Real Estate Corporation
2019-01-10,ACRS,United States,2015,315620000,MajorPharmaceuticals,"Aclaris Therapeutics, Inc."
2019-01-10,ACRX,United States,2011,169630000,MajorPharmaceuticals,"AcelRx Pharmaceuticals, Inc."
2019-01-10,ACST,Canada,0,71880000,MajorPharmaceuticals,"Acasti Pharma, Inc."
2019-01-10,ACT,United States,0,11620000,n/a,AdvisorShares Vice ETF
2019-01-10,ACTG,United States,0,155870000,Multi-SectorCompanies,Acacia Research Corporation
2019-01-10,ACU,United States,1988,53900000,IndustrialMachinery/Components,Acme United Corporation.
2019-01-10,ACV,United States,2015,208190000,n/a,AllianzGI Diversified Income & Convertible Fund
2019-01-10,ACWI,United States,0,11340000000,n/a,iShares MSCI ACWI Index Fund
2019-01-10,ACWX,United States,0,4980000000,n/a,iShares MSCI ACWI ex US Index Fund
2019-01-10,ACY,United States,0,14470000,DiversifiedCommercialServices,AeroCentury Corp.
2019-01-10,ADAP,United Kingdom,2015,606510000,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),Adaptimmune Therapeutics plc
2019-01-10,ADBE,United States,1986,113580000000,ComputerSoftware:PrepackagedSoftware,Adobe Inc.
2019-01-10,ADC,United States,0,2080000000,RealEstateInvestmentTrusts,Agree Realty Corporation
2019-01-10,ADES,United States,0,213690000,MajorChemicals,"Advanced Emissions Solutions, Inc."
2019-01-10,ADI,United States,0,31550000000,Semiconductors,"Analog Devices, Inc."
2019-01-10,ADIL,United States,2018,42260000,MajorPharmaceuticals,"Adial Pharmaceuticals, Inc"
2019-01-10,ADILW,United States,2018,0,MajorPharmaceuticals,"Adial Pharmaceuticals, Inc"
2019-01-10,ADM,United States,0,23940000000,PackagedFoods,Archer-Daniels-Midland Company
2019-01-10,ADMA,United States,0,158060000,Biotechnology:BiologicalProducts(NoDiagnosticSubstances),ADMA Biologics Inc
2019-01-10,ADMP,United States,0,118230000,MajorPharmaceuticals,Adamis Pharmaceuticals Corporation
2019-01-10,ADMS,United States,2014,261330000,MajorPharmaceuticals,"Adamas Pharmaceuticals, Inc."
2019-01-10,ADNT,n/a,2016,1670000000,AutoParts:O.E.M.,Adient plc
2019-01-10,ADOM,United States,2017,22400000,AutoParts:O.E.M.,"ADOMANI, Inc."
2019-01-10,ADP,United States,0,57470000000,EDPServices,"Automatic Data Processing, Inc."
2019-01-10,ADRA,United States,0,17570000,n/a,Invesco BLDRS Asia 50 ADR Index Fund
2019-01-10,ADRD,United States,0,54730000,n/a,Invesco BLDRS Developed Markets 100 ADR Index Fund
